id,smi,mw,nrings,S,B,F,N,Se,Br,O,Cl,P,Si,C,s1,t1,t2,gap1,gap2,ip,ea,HOME_0-LUMO_0,HOME_0-LUMO_1,HOME_0-LUMO_2,HOME_0-LUMO_3,HOME_1-LUMO_0,HOME_1-LUMO_1,HOME_1-LUMO_2,HOME_1-LUMO_3,HOME_2-LUMO_0,HOME_2-LUMO_1,HOME_2-LUMO_2,HOME_2-LUMO_3,HOME_3-LUMO_0,HOME_3-LUMO_1,HOME_3-LUMO_2,HOME_3-LUMO_3
60123030,CC1=CC=C(C=C1)C(=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C=C(C)C4=CC=C(C=C4)C)C5=C6C=C7C=CC=CC7=CC6=C(C8=CC9=CC=CC=C9C=C85)N(C1=CC=C(C=C1)C=C(C)C1=CC=C(C=C1)C)C1=CC=C(C=C1)C=C(C)C1=CC=C(C=C1)C)C,1133.5359999999994,13,0,0,0,2,0,0,0,0,0,0,86,2.0214,0.8781,2.2564,0.2651999999999999,0.5002000000000002,6.4029,2.8257,-0.8811999999999998,-1.9611,-2.2216,-2.2764999999999995,-1.1678999999999995,-2.2478,-2.5083,-2.5632,-1.3938000000000006,-2.473700000000001,-2.7342000000000004,-2.7891000000000004,-1.7630999999999997,-2.843,-3.1034999999999995,-3.1583999999999994
71406095,C1=CC=C2C=C3C=C4C=C5C=C(C(=CC5=CC4=CC3=CC2=C1)O)O,310.352,5,0,0,0,0,0,0,2,0,0,0,22,2.4025,1.1055,2.3529,0.1915,0.14190000000000014,7.271,2.3549,-1.2409,-2.3279,-3.0731,-3.3877999999999995,-2.116200000000001,-3.2032000000000007,-3.9484,-4.2631000000000006,-2.394400000000001,-3.4814000000000007,-4.2266,-4.541300000000001,-2.8918,-3.9788,-4.723999999999999,-5.0387
71425430,COC1=CC2=CC3=CC4=CC5=CC(=C(C=C5C=C4C=C3C=C2C=C1OC)OC)OC,398.4580000000002,5,0,0,0,0,0,0,4,0,0,0,26,2.4648,1.1938,2.4344,0.07719999999999994,0.046800000000000175,6.9061,2.1999,-1.2275999999999998,-2.2985,-3.0534,-3.3481999999999994,-2.022800000000001,-3.093700000000001,-3.848600000000001,-4.143400000000001,-2.2106000000000003,-3.2815000000000003,-4.0364,-4.3312,-2.4401,-3.511,-4.2659,-4.5607
71427657,C1=CC=C(C=C1)C2=C3C(=C4C=C5C=CC=CC5=CC4=C(C3=C(C6=CC7=CC=CC=C7C=C62)C8=CC=CC=C8)C9=CC=CC=C9)C1=CC=CC=C1,632.8060000000003,10,0,0,0,0,0,0,0,0,0,0,50,1.7578,0.4106,1.7254,0.9366,0.9042,6.7425,2.9274,-0.825800000000001,-1.735500000000001,-2.472500000000001,-2.718400000000001,-1.6776999999999995,-2.5874,-3.3244,-3.5703,-2.101000000000001,-3.010700000000001,-3.747700000000001,-3.9936000000000007,-2.2131000000000007,-3.1228000000000007,-3.859800000000001,-4.105700000000001
71446454,C[Si](C)(C)C1=CC=C(S1)C2=C3C=C4C=CC=CC4=CC3=C(C5=CC6=CC=CC=C6C=C52)C7=CC=C(S7)[Si](C)(C)C,586.9740000000002,7,2,0,0,0,0,0,0,0,0,2,36,2.2658,0.975,2.2976,0.3158000000000001,0.34760000000000013,6.8901,2.6233,-1.1072000000000006,-2.2379,-2.598,-2.7042,-2.0223000000000013,-3.1530000000000005,-3.513100000000001,-3.619300000000001,-2.089700000000001,-3.2204,-3.5805,-3.6867,-2.094000000000001,-3.2247000000000003,-3.5848000000000004,-3.6910000000000007
72277462,CC1=CC=C(C=C1)C#CC2=CC3=CC4=CC5=C(C=C6C=C(C=CC6=C5)C=CC7=CC8=CC9=C(C=C8C=C7)C=C1C=C5C=C(C=CC5=CC1=C9)C#CC1=CC=C(C=C1)C)C=C4C=C3C=C2,809.024,12,0,0,0,0,0,0,0,0,0,0,64,2.2687,1.013,1.0739,0.24270000000000014,-0.9520999999999997,6.5591,3.184,-1.0296000000000003,-1.1512000000000011,-1.9240000000000004,-2.1195000000000004,-1.171199999999999,-1.2927999999999995,-2.065599999999999,-2.261099999999999,-1.7140000000000004,-1.8356000000000008,-2.6084000000000005,-2.8039000000000005,-1.8615,-1.9831000000000003,-2.7559,-2.9514
72637999,CC1=CC=C(C=C1)C(=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C)C4=CC5=CC(=CC6=C5C(=C4)C7=C8C6=C9C=CC=C1C9=C(C8=CC=C7)C2=C3C1=CC(=CC3=CC(=C2)C(C)(C)C)N(C1=CC=C(C=C1)C)C1=CC=C(C=C1)C=C(C1CCCCC1)C1=CC=C(C=C1)C)C(C)(C)C)C1CCCCC1,1297.8279999999993,17,0,0,0,2,0,0,0,0,0,0,98,2.2471,1.1419,2.2772,-0.03669999999999973,-0.006599999999999717,6.3963,2.8815,-1.030200000000001,-2.0035000000000007,-2.609700000000001,-2.9076000000000004,-1.1530000000000005,-2.1263000000000005,-2.732500000000001,-3.0304,-1.2881,-2.2614,-2.8676000000000004,-3.1655,-1.9834,-2.9567,-3.5629,-3.8607999999999993
72655747,CC1=CC=C(C=C1)C(=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C=C(C)C4=CC=C(C=C4)C)C5=C6C=C7C=CC=CC7=CC6=C(C8=CC9=CC=CC=C9C=C85)N(C1=CC=C(C=C1)C=C(C)C1=CC=C(C=C1)C)C1=CC=C(C=C1)C=C(C)C1=CC=C(C=C1)C)C,1133.5359999999994,13,0,0,0,2,0,0,0,0,0,0,86,2.0214,0.878,2.2568,0.26539999999999986,0.5008000000000001,6.4036,2.8274,-0.8815000000000008,-1.9613000000000005,-2.2187,-2.280500000000001,-1.1652000000000005,-2.245,-2.5024,-2.5642000000000005,-1.3941999999999997,-2.474,-2.731399999999999,-2.7932,-1.7606000000000002,-2.8404,-3.0977999999999994,-3.1596
73685828,CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C)C4=CC=C5C6=C(C=CC=C46)C7=C8C5=C9C=CC=C1C9=C(C8=CC=C7)C2=CC=C(C3=CC=CC1=C32)N(C1=CC=C(C=C1)C)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)C,1021.3199999999998,15,0,0,0,2,0,0,0,0,0,0,78,2.0741,1.0445,2.1805,-0.014899999999999913,0.09149999999999991,6.2639,2.9488,-0.8919000000000015,-1.790700000000001,-1.951900000000001,-2.097200000000001,-1.2913000000000014,-2.190100000000001,-2.351300000000001,-2.496600000000001,-1.4993,-2.3980999999999995,-2.5592999999999995,-2.7045999999999992,-1.9118000000000013,-2.810600000000001,-2.971800000000001,-3.1171000000000006
73685831,CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C=CC3=CC=CC=C3)C4=CC5=CC(=CC6=C5C(=C4)C7=CC=CC8=C9C1=C2C(=CC(=C1)C(C)(C)C)C=C(C=C2C1=C9C(=CC=C1)C6=C87)N(C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=CC=C1)C(C)(C)C,1091.4549999999995,15,0,0,0,2,0,0,0,0,0,0,83,2.2293,1.1253,2.24,-0.021300000000000097,-0.01059999999999972,6.4242,3.0007,-1.0519999999999996,-1.9335,-1.9836,-2.0534,-1.226799999999999,-2.108299999999999,-2.1583999999999994,-2.2282,-1.3095,-2.191,-2.2411000000000003,-2.3109,-1.9558,-2.8373,-2.8874000000000004,-2.9572000000000003
73690495,C1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=CC=C3)C4=CC=CC5=CC6=CC7=C(C=C8C=CC=C(C8=C7)N(C9=CC=CC=C9)C1=CC=C(C=C1)C=CC1=CC=CC=C1)C=C6C=C54,817.0480000000001,11,0,0,0,2,0,0,0,0,0,0,62,2.2974,1.0399,2.1399,0.21760000000000002,0.06009999999999982,6.5921,2.8142,-1.0794999999999997,-2.027399999999999,-2.1835,-2.3375999999999992,-1.2615999999999996,-2.2095,-2.3656,-2.5196999999999994,-1.4748,-2.4227,-2.5788,-2.7329,-2.0055999999999994,-2.953499999999999,-3.1095999999999995,-3.263699999999999
73702050,CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C=CC3=CC=C(C=C3)C=C4CCCCC4)C5=C6C=C7C=CC=CC7=CC6=C(C8=CC9=CC=CC=C9C=C85)N(C1=CC=C(C=C1)C)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)C=C1CCCCC1,1033.416,13,0,0,0,2,0,0,0,0,0,0,78,2.0848,0.8908,2.2748,0.3031999999999999,0.49319999999999986,6.5042,2.7671,-0.9086000000000016,-1.9720000000000004,-2.261400000000001,-2.394000000000001,-1.3615000000000013,-2.4249,-2.7143000000000006,-2.8469000000000007,-1.5429000000000013,-2.6063,-2.8957000000000006,-3.0283000000000007,-1.8482000000000005,-2.911599999999999,-3.201,-3.3336
73702055,CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C=C4CCCCC4)C5=C6C=C7C=CC=CC7=CC6=C(C8=CC9=CC=CC=C9C=C85)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)C)C1=CC=C(C=C1)C=C1CCCCC1,1033.416,13,0,0,0,2,0,0,0,0,0,0,78,2.0335,0.8456,2.2381,0.34230000000000005,0.5469000000000002,6.4064,2.837,-0.8864999999999998,-1.9316999999999995,-1.9709,-2.044,-1.2101000000000006,-2.2553,-2.2945,-2.3676000000000004,-1.4591000000000012,-2.5043000000000006,-2.5435000000000008,-2.616600000000001,-1.751100000000001,-2.7963000000000005,-2.835500000000001,-2.9086000000000007
73702367,C1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=CC=C3)C4=C5C=CC=C6C5=C(C=C4)C7=CC=CC8=C9C1=CC=CC2=C1C(=CC=C2)C1=C9C(=CC=C1)C6=C87,695.865,12,0,0,0,1,0,0,0,0,0,0,54,2.2167,1.1055,2.2013,0.005700000000000038,-0.009700000000000042,6.6212,2.8909,-1.010199999999999,-1.8959,-2.0323,-2.9008000000000003,-1.3764999999999985,-2.262199999999999,-2.398599999999999,-3.2670999999999992,-1.9408,-2.8265,-2.9629000000000003,-3.8314,-2.1873999999999985,-3.0731,-3.2095,-4.077999999999999
73702368,C1CCC(=CC2=CC=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=CC=C4)C5=C6C=CC=C7C6=C(C=C5)C8=CC=CC9=C2C3=CC=CC4=C3C(=CC=C4)C3=C2C(=CC=C3)C7=C98)CC1,790.0219999999998,13,0,0,0,1,0,0,0,0,0,0,61,2.2053,1.0917,2.1951,0.02190000000000003,0.011700000000000266,6.601,2.8397,-0.9897000000000008,-1.9224,-2.2629,-2.8939000000000004,-1.4191000000000005,-2.351799999999999,-2.6922999999999995,-3.3233,-1.7525000000000013,-2.6852,-3.0257000000000005,-3.6567000000000007,-2.051200000000001,-2.9839,-3.3244000000000007,-3.955400000000001
73702375,CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=CC=C3)C4=C5C=CC=C6C5=C(C=C4)C7=CC=CC8=C9C1=CC=CC2=C1C(=CC=C2)C1=C9C(=CC=C1)C6=C87,709.892,12,0,0,0,1,0,0,0,0,0,0,55,2.207,1.0939,2.1981,0.019199999999999662,0.010299999999999976,6.5725,2.8942,-0.9917999999999996,-1.9080000000000004,-2.0835,-2.8838,-1.3407,-2.256900000000001,-2.4324000000000003,-3.2327000000000004,-1.881,-2.797200000000001,-2.972700000000001,-3.773000000000001,-2.123099999999999,-3.0393,-3.2147999999999994,-4.0151
73702376,CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=CC=C3)C4=C5C=CC=C6C5=C(C=C4)C7=C8C6=C9C=CC=C1C9=C(C8=CC=C7)C2=CC=CC3=C(C=CC1=C32)N(C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)C,993.266,15,0,0,0,2,0,0,0,0,0,0,76,2.1438,1.0772,2.1175,-0.01059999999999972,-0.03689999999999971,6.3826,2.9259,-0.9339000000000012,-1.8390000000000004,-2.170300000000001,-2.2326000000000006,-1.2895000000000003,-2.1945999999999994,-2.5259,-2.5882,-1.4987000000000013,-2.4038000000000004,-2.735100000000001,-2.797400000000001,-1.9713000000000007,-2.8764000000000003,-3.207700000000001,-3.2700000000000005
73702384,CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C)C4=C5C=CC=C6C5=C(C=C4)C7=C8C6=C9C=CC=C1C9=C(C8=CC=C7)C2=CC=CC3=C(C=CC1=C32)N(C1=CC=C(C=C1)C)C1=CC=C(C=C1)C=C(C1=CC=C(C=C1)C)C1=CC=C(C=C1)C=C1CCCCC1,1191.575,17,0,0,0,2,0,0,0,0,0,0,91,2.0402,0.9944,2.0517,0.05140000000000011,0.06289999999999996,6.292,2.9373,-0.8879000000000001,-1.8079,-2.0067000000000004,-2.0754,-1.250399999999999,-2.170399999999999,-2.3692,-2.437899999999999,-1.465,-2.385,-2.5838,-2.6525,-1.7689000000000004,-2.6889000000000003,-2.8877000000000006,-2.9564000000000004
73702387,CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C=C4CCCCC4)C5=C6C=CC=C7C6=C(C=C5)C8=CC=CC9=C1C2=CC=CC3=C2C(=CC=C3)C2=C1C(=CC=C2)C7=C98,804.0490000000001,13,0,0,0,1,0,0,0,0,0,0,62,2.2104,1.1047,2.1942,0.0009999999999998899,-0.015200000000000102,6.5275,2.788,-0.9987999999999992,-1.9233,-2.2471,-2.6991,-1.400599999999999,-2.3251,-2.6489,-3.1009,-1.9911,-2.9156000000000004,-3.2394,-3.6914,-2.0375999999999994,-2.9621000000000004,-3.2859,-3.7379
73702389,CC1=CC=C(C=C1)N(C2=CC=CC=C2)C3=C4C=CC=C5C4=C(C=C3)C6=C7C5=C8C=CC=C9C8=C(C7=CC=C6)C1=CC=CC2=C(C=CC9=C21)N(C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=CC=C1,877.1030000000002,14,0,0,0,2,0,0,0,0,0,0,67,2.1514,1.0797,2.1233,-0.008000000000000007,-0.03610000000000024,6.3969,2.9404,-0.9459,-1.8203000000000005,-1.9560000000000004,-2.7804,-1.2937999999999992,-2.1682,-2.3039,-3.1282999999999994,-1.4924999999999995,-2.3669,-2.5026,-3.327,-1.9905999999999988,-2.865,-3.0007,-3.825099999999999
73702433,CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C=CC3=CC=C(C=C3)C=C4CCCCC4)C5=C6C=C7C=CC=CC7=CC6=CC8=CC9=CC=CC=C9C=C85,655.8850000000003,9,0,0,0,1,0,0,0,0,0,0,50,2.2101,0.9752,2.3055,0.25970000000000026,0.35509999999999997,6.6673,2.6894,-1.0310000000000006,-2.0539,-2.1194999999999995,-2.8364000000000003,-1.437800000000001,-2.4607,-2.5263,-3.2432000000000007,-1.834200000000001,-2.8571,-2.9227,-3.6396000000000006,-2.135900000000001,-3.1588000000000003,-3.2244,-3.941300000000001
73702450,CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=CC=C3)C4=C5C=C6C=CC=CC6=CC5=C(C7=CC8=CC=CC=C8C=C74)N(C9=CC=CC=C9)C1=CC=C(C=C1)C=CC1=CC=CC=C1,831.0750000000002,11,0,0,0,2,0,0,0,0,0,0,63,2.0939,0.898,2.2801,0.29790000000000005,0.4841,6.5759,2.8247,-0.9558999999999996,-1.9837,-2.038,-2.3378999999999994,-1.4074000000000009,-2.435200000000001,-2.4895000000000005,-2.7894000000000005,-1.5207999999999997,-2.5485999999999995,-2.602899999999999,-2.902799999999999,-1.9629,-2.9906999999999995,-3.044999999999999,-3.344899999999999
73702456,CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=CC=C3)C4=C5C=C6C=CC=CC6=CC5=CC7=CC8=CC=CC=C8C=C74,561.7280000000002,8,0,0,0,1,0,0,0,0,0,0,43,2.2333,0.978,2.3026,0.2772999999999999,0.3466,6.8651,2.6187,-1.062100000000001,-2.1514000000000006,-2.3654,-2.8695000000000004,-1.512500000000001,-2.601800000000001,-2.8158000000000003,-3.3199000000000005,-1.9887,-3.0779999999999994,-3.291999999999999,-3.796099999999999,-2.1411,-3.2303999999999995,-3.444399999999999,-3.9484999999999992
73702459,C1=CC=C(C=C1)C=CC2=CC=C(C=C2)N(C3=CC=CC=C3)C4=C5C=C6C=CC=CC6=CC5=CC7=CC8=CC=CC=C8C=C74,547.7010000000001,8,0,0,0,1,0,0,0,0,0,0,42,2.1877,0.9546,2.2954,0.27849999999999997,0.3861999999999999,6.8907,2.6228,-1.0592000000000006,-2.146300000000001,-2.3439000000000005,-2.8641000000000005,-1.5327000000000002,-2.619800000000001,-2.8174,-3.3376,-2.1138999999999992,-3.201,-3.398599999999999,-3.918799999999999,-2.1561000000000003,-3.2432000000000007,-3.4408000000000003,-3.961
